title.id,firstName,lastName,dateOfBirth,circles[].id,company.id,emails[1].email,emails[1].primary,emails[2].email,phones[1].phone,phones[1].phoneType,phones[1].primary,addresses[1].street,addresses[1].city,addresses[1].zip,addresses[1].country.id,notes,fidelity,businessSector
2,Larisa,Hofmann,1987-06-10,3|7,5,hello28@test.com,FALSE,hello28@test2.com,+55-21-1234-5678,Other,FALSE,"Av Rio Branco",Rio de Janeiro,20040-001,8,Mollis quis diam,4,finance
3,Ansh,Kaya,1981-09-25,2|8,6,hello29@test.com,TRUE,hello29@test2.com,+91-22-1234-5678,Office,FALSE,"Malabar Hill",Mumbai,400006,7,Convallis mauris cursus,1,education
2,Karen,Smithson,1972-03-15,2|4,6,hello30@test.com,FALSE,hello30@test2.com,+1-213-555-3456,Office,TRUE,"2307 Los Feliz Blvd",Los Angeles,90027,5,Sed eleifend dictum purus,2,logistics
2,Rafaela,Gallardo,1991-04-28,3|5,3,hello31@test.com,TRUE,,+44-7902-345678,Mobile,FALSE,"8 Bridge St",Manchester,M3 4PF,4,Aliquam ligula magna,4,technology
1,Elio,Stein,1993-09-03,6|7,1,hello32@test.com,FALSE,hello32@test2.com,+49-1523-456789,Other,TRUE,"Unter den Linden 5",Berlin,10117,2,Fusce nec tellus sed,5,manufacturing
1,Karim,Velasquez,1980-12-14,1|8,4,hello33@test.com,,hello33@test2.com,+34-91-6789-123,Mobile,FALSE,"Plaza Mayor 23",Madrid,28013,3,Dignissim purus nec venenatis,3,education
2,Hilda,Larsson,1975-07-07,3|6,5,hello34@test.com,FALSE,hello34@test2.com,+86-21-1234-5678,Office,TRUE,"Nanjing West Rd 100",Shanghai,200041,6,Ut faucibus eros,1,finance
3,Giovanni,Leone,1987-02-25,4|7,2,hello35@test.com,,hello35@test2.com,+33-674-567-891,Mobile,FALSE,"5 Avenue de l'Opéra",Paris,75001,1,In rutrum ligula varius,4,logistics
1,Wei,Cheng,1989-08-22,2|5|6,3,hello36@test.com,TRUE,hello36@test2.com,+1-212-555-7890,Office,FALSE,"123 Broadway",New York,10001,5,Suspendisse maximus velit,0,technology
2,Nadia,Kowalski,1999-05-09,3|8,1,hello37@test.com,FALSE,hello37@test2.com,+55-11-98765-4321,Mobile,TRUE,"Rua das Flores 45",São Paulo,04567-000,8,Vestibulum sed viverra,2,health
1,Alaric,Bauer,1977-06-19,7|8,6,hello38@test.com,,hello38@test2.com,+91-22-6789-4321,Home,FALSE,"123 Marine Drive",Mumbai,400020,7,Orci varius natoque penatibus,3,education
3,Sakura,Kobayashi,1992-01-30,1|4|5,4,hello39@test.com,TRUE,hello39@test2.com,+81-3-1234-5678,Other,FALSE,"12 Shibuya St",Tokyo,150-0001,6,Mattis libero et ornare,5,manufacturing
1,Miguel,Petrov,2000-11-14,3|7,4,hello40@test.com,TRUE,hello40@test2.com,+33 6 12 34 56 78,Mobile,FALSE,"25, Rue Petrov",Paris,75001,1,"Mauris vulputate felis in dolor blandit, a ullamcorper sem tempus.",2,technology
3,Amara,Mbaye,1972-03-11,2|5|8,3,hello41@test.com,TRUE,hello41@test2.com,+34 609876543,Home,TRUE,"Calle de la Paz",Madrid,28013,3,"Curabitur fermentum felis ut erat venenatis.",4,education
1,Felipe,Estevez,1990-07-22,4|6,2,hello42@test.com,,hello42@test2.com,+49 30 1234567,Office,FALSE,"Potsdamer Platz",Berlin,10117,2,"Sed accumsan nulla sit amet magna dictum.",5,health
