jsonModel,name,status,customerFirstName,customerLastName,vehicleName,startDate,endDate,pickupLocation,returnLocation,dailyRate,estimatedDays,totalAmount,deposit,startMileage,endMileage,extraNames,notes,importId
RentalAgreement,RA-2026-0020,returned,Michael,Quarles,Audi A4,2026-03-10T08:00:00,2026-03-17T20:00:00,Brussels Airport,Brussels Airport,100.00,7,700.00,500.00,19500,20000,GPS|Additional Driver,Multi-driver business trip,20
RentalAgreement,RA-2026-0021,returned,Milano,Ryberg,Audi Q5,2026-01-25T09:00:00,2026-02-01T17:00:00,Madrid Barajas,Madrid Barajas,110.00,7,770.00,700.00,21500,22000,GPS|Premium Insurance|WiFi Hotspot,Iberian business tour,21
RentalAgreement,RA-2026-0022,in-progress,Georgina,Zalewski,Tesla Model Y,2026-04-30T10:00:00,2026-05-12T18:00:00,Lyon Part-Dieu,Lyon Part-Dieu,110.00,12,1320.00,700.00,10500,,GPS|Premium Insurance,Long electric SUV rental,22
RentalAgreement,RA-2026-0023,in-progress,Tomas,Guerra,Renault Trafic,2026-05-02T08:00:00,2026-05-09T18:00:00,Paris Orly,Paris Orly,90.00,7,630.00,600.00,41500,,GPS|Additional Driver,Group transfer,23
RentalAgreement,RA-2026-0024,in-progress,Sybille,Lang,Audi A4,2026-05-04T09:00:00,2026-05-11T17:00:00,Brussels Airport,Brussels Airport,100.00,7,700.00,500.00,19800,,GPS|Premium Insurance,Business trip in progress,24
RentalAgreement,RA-2026-0025,in-progress,Iker,Rabasa,Audi Q5,2026-04-28T11:00:00,2026-05-08T18:00:00,Madrid Barajas,Madrid Barajas,110.00,10,1100.00,700.00,22000,,GPS|WiFi Hotspot,Active business rental,25
RentalAgreement,RA-2026-0026,in-progress,Felix,Santana,Mercedes Class E,2026-05-01T10:00:00,2026-05-15T17:00:00,Frankfurt Airport,Frankfurt Airport,170.00,14,2380.00,1000.00,8800,,Premium Insurance|WiFi Hotspot,Two-week luxury rental,26
RentalAgreement,RA-2026-0027,in-progress,Larisa,Hofmann,Fiat Tipo,2026-05-03T09:00:00,2026-05-10T18:00:00,Milan Centrale,Milan Centrale,45.00,7,315.00,250.00,16800,,GPS,Italian compact rental,27
RentalAgreement,RA-2026-0028,in-progress,Ansh,Kaya,Jaguar XE,2026-05-05T10:00:00,2026-05-13T18:00:00,London Heathrow,London Heathrow,110.00,8,880.00,600.00,18800,,GPS|Premium Insurance,UK business tour,28
RentalAgreement,RA-2026-0029,in-progress,Karen,Smithson,Renault Captur,2026-05-04T11:00:00,2026-05-12T17:00:00,Bordeaux Centre,Bordeaux Centre,65.00,8,520.00,400.00,19200,,GPS|Child Seat,Family rental in progress,29
RentalAgreement,RA-2026-0030,confirmed,Rafaela,Gallardo,Tesla Model 3,2026-05-20T10:00:00,2026-05-27T18:00:00,Paris CDG Airport,Paris CDG Airport,95.00,7,665.00,500.00,,,GPS|Premium Insurance,Confirmed for next week,30
RentalAgreement,RA-2026-0031,confirmed,Elio,Stein,BMW Serie 3,2026-05-25T09:00:00,2026-06-01T17:00:00,Madrid Barajas,Madrid Barajas,105.00,7,735.00,500.00,,,GPS|WiFi Hotspot,Confirmed Spain business trip,31
RentalAgreement,RA-2026-0032,confirmed,Karim,Velasquez,Mercedes EQA,2026-06-01T10:00:00,2026-06-05T18:00:00,Berlin Mitte,Berlin Mitte,95.00,4,380.00,500.00,,,GPS,Electric SUV booking,32
RentalAgreement,RA-2026-0033,confirmed,Hilda,Larsson,Volkswagen Polo,2026-06-10T11:00:00,2026-06-15T17:00:00,Toulouse Blagnac,Toulouse Blagnac,45.00,5,225.00,250.00,,,GPS|Additional Driver,Compact rental confirmed,33
RentalAgreement,RA-2026-0034,confirmed,Giovanni,Leone,Alfa Romeo Giulia,2026-06-15T09:00:00,2026-06-22T18:00:00,Rome Termini,Rome Termini,95.00,7,665.00,500.00,,,GPS|Premium Insurance,Italian sport sedan booking,34
RentalAgreement,RA-2026-0035,confirmed,Wei,Cheng,Land Rover Discovery,2026-07-01T10:00:00,2026-07-08T18:00:00,London Heathrow,London Heathrow,130.00,7,910.00,700.00,,,GPS|Premium Insurance|Child Seat,Family UK tour,35
RentalAgreement,RA-2026-0036,confirmed,Nadia,Kowalski,Mini Cooper,2026-07-05T11:00:00,2026-07-12T17:00:00,London Heathrow,London Heathrow,65.00,7,455.00,300.00,,,GPS,UK city break,36
RentalAgreement,RA-2026-0037,confirmed,Alaric,Bauer,Volkswagen Golf,2026-06-20T09:00:00,2026-06-25T18:00:00,Munich Hauptbahnhof,Munich Hauptbahnhof,50.00,5,250.00,300.00,,,GPS,Bavarian business trip,37
RentalAgreement,RA-2026-0038,confirmed,Sakura,Kobayashi,Audi A8,2026-07-15T10:00:00,2026-07-22T18:00:00,Frankfurt Airport,Frankfurt Airport,200.00,7,1400.00,1500.00,,,GPS|Premium Insurance|WiFi Hotspot,Luxury executive rental,38
RentalAgreement,RA-2026-0039,confirmed,Miguel,Petrov,Volkswagen ID.4,2026-07-20T09:00:00,2026-07-27T17:00:00,Frankfurt Airport,Frankfurt Airport,95.00,7,665.00,500.00,,,GPS|Child Seat,Family electric SUV booking,39
RentalAgreement,RA-2026-0040,draft,Amara,Mbaye,Seat Ibiza,2026-08-01T10:00:00,2026-08-05T17:00:00,Madrid Atocha,Madrid Atocha,42.00,4,168.00,250.00,,,GPS,Tentative summer booking,40
RentalAgreement,RA-2026-0041,draft,Felipe,Estevez,Fiat Panda,2026-08-10T09:00:00,2026-08-17T18:00:00,Rome Termini,Rome Termini,35.00,7,245.00,250.00,,,GPS,Italian summer holiday draft,41
RentalAgreement,RA-2026-0042,draft,Fredrick,Brandt,Audi A6,2026-08-15T11:00:00,2026-08-22T17:00:00,Berlin Tegel,Berlin Tegel,160.00,7,1120.00,1000.00,,,GPS|Premium Insurance,Luxury draft pending confirmation,42
RentalAgreement,RA-2026-0043,cancelled,Samina,Wright,BMW Serie 5,2026-05-25T10:00:00,2026-05-30T18:00:00,Berlin Mitte,Berlin Mitte,150.00,5,750.00,1000.00,,,Premium Insurance,Cancelled by customer,43
RentalAgreement,RA-2026-0044,cancelled,Marjorie,Marshall,Citroën Berlingo,2026-06-01T09:00:00,2026-06-05T17:00:00,Marseille Saint-Charles,Marseille Saint-Charles,80.00,4,320.00,400.00,,,GPS|Child Seat,Cancelled - alternate vehicle preferred,44
RentalAgreement,RA-2026-0045,cancelled,Violet,Hines,Mini Cooper,2026-06-15T10:00:00,2026-06-20T17:00:00,London Heathrow,London Heathrow,65.00,5,325.00,300.00,,,GPS,Cancelled by agency,45
